year,quarter,revenue,year_deal,month_deal,price,LTM,multiplier,age,ID,index,name,type,years_remaining
2016,3,10,2021,10,8000,1103,7.25,5.25,5922,3219,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,30
2016,4,19,2021,10,8000,1103,7.25,5.25,5922,3219,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,30
2017,1,795,2021,10,8000,1103,7.25,5.25,5922,3219,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,30
2017,2,2230,2021,10,8000,1103,7.25,5.25,5922,3219,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,30
2017,3,1297,2021,10,8000,1103,7.25,5.25,5922,3219,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,30
2017,4,423,2021,10,8000,1103,7.25,5.25,5922,3219,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,30
2018,1,777,2021,10,8000,1103,7.25,5.25,5922,3219,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,30
2018,2,455,2021,10,8000,1103,7.25,5.25,5922,3219,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,30
2018,3,473,2021,10,8000,1103,7.25,5.25,5922,3219,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,30
2018,4,362,2021,10,8000,1103,7.25,5.25,5922,3219,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,30
2019,1,283,2021,10,8000,1103,7.25,5.25,5922,3219,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,30
2019,2,367,2021,10,8000,1103,7.25,5.25,5922,3219,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,30
2019,3,367,2021,10,8000,1103,7.25,5.25,5922,3219,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,30
2019,4,279,2021,10,8000,1103,7.25,5.25,5922,3219,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,30
2020,1,318,2021,10,8000,1103,7.25,5.25,5922,3219,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,30
2020,2,437,2021,10,8000,1103,7.25,5.25,5922,3219,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,30
2020,3,245,2021,10,8000,1103,7.25,5.25,5922,3219,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,30
2020,4,300,2021,10,8000,1103,7.25,5.25,5922,3219,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,30
2021,1,239,2021,10,8000,1103,7.25,5.25,5922,3219,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,30
2021,2,318,2021,10,8000,1103,7.25,5.25,5922,3219,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,30
2021,3,277,2021,10,8000,1103,7.25,5.25,5922,3219,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,30
2016,3,10,2024,10,17250,1643,10.5,8.24,5922,3604,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,27
2016,4,19,2024,10,17250,1643,10.5,8.24,5922,3604,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,27
2017,1,795,2024,10,17250,1643,10.5,8.24,5922,3604,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,27
2017,2,2230,2024,10,17250,1643,10.5,8.24,5922,3604,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,27
2017,3,1297,2024,10,17250,1643,10.5,8.24,5922,3604,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,27
2017,4,423,2024,10,17250,1643,10.5,8.24,5922,3604,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,27
2018,1,777,2024,10,17250,1643,10.5,8.24,5922,3604,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,27
2018,2,455,2024,10,17250,1643,10.5,8.24,5922,3604,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,27
2018,3,473,2024,10,17250,1643,10.5,8.24,5922,3604,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,27
2018,4,362,2024,10,17250,1643,10.5,8.24,5922,3604,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,27
2019,1,283,2024,10,17250,1643,10.5,8.24,5922,3604,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,27
2019,2,367,2024,10,17250,1643,10.5,8.24,5922,3604,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,27
2019,3,367,2024,10,17250,1643,10.5,8.24,5922,3604,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,27
2019,4,279,2024,10,17250,1643,10.5,8.24,5922,3604,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,27
2020,1,318,2024,10,17250,1643,10.5,8.24,5922,3604,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,27
2020,2,437,2024,10,17250,1643,10.5,8.24,5922,3604,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,27
2020,3,245,2024,10,17250,1643,10.5,8.24,5922,3604,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,27
2020,4,300,2024,10,17250,1643,10.5,8.24,5922,3604,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,27
2021,1,239,2024,10,17250,1643,10.5,8.24,5922,3604,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,27
2021,2,318,2024,10,17250,1643,10.5,8.24,5922,3604,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,27
2021,3,277,2024,10,17250,1643,10.5,8.24,5922,3604,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,27
2021,4,282,2024,10,17250,1643,10.5,8.24,5922,3604,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,27
2022,1,279,2024,10,17250,1643,10.5,8.24,5922,3604,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,27
2022,2,332,2024,10,17250,1643,10.5,8.24,5922,3604,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,27
2022,3,369,2024,10,17250,1643,10.5,8.24,5922,3604,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,27
2022,4,395,2024,10,17250,1643,10.5,8.24,5922,3604,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,27
2023,1,259,2024,10,17250,1643,10.5,8.24,5922,3604,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,27
2023,2,313,2024,10,17250,1643,10.5,8.24,5922,3604,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,27
2023,3,427,2024,10,17250,1643,10.5,8.24,5922,3604,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,27
2023,4,495,2024,10,17250,1643,10.5,8.24,5922,3604,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,27
2023,6,69,2024,10,17250,1643,10.5,8.24,5922,3604,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,27
2024,1,345,2024,10,17250,1643,10.5,8.24,5922,3604,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,27
2024,2,371,2024,10,17250,1643,10.5,8.24,5922,3604,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,27
2024,3,364,2024,10,17250,1643,10.5,8.24,5922,3604,"Chill Bill"" by Rob $tone featuring J.Davis & Spooks""",30-Year,27
2022,2,8844,2023,10,11000,4560,2.53,1.56,5788,2617,"Petty Too"" by Lil Durk - Songwriter Royalties""",Life of Rights,70
2022,3,3622,2023,10,11000,4560,2.53,1.56,5788,2617,"Petty Too"" by Lil Durk - Songwriter Royalties""",Life of Rights,70
2022,4,2062,2023,10,11000,4560,2.53,1.56,5788,2617,"Petty Too"" by Lil Durk - Songwriter Royalties""",Life of Rights,70
2023,1,1582,2023,10,11000,4560,2.53,1.56,5788,2617,"Petty Too"" by Lil Durk - Songwriter Royalties""",Life of Rights,70
2023,2,1426,2023,10,11000,4560,2.53,1.56,5788,2617,"Petty Too"" by Lil Durk - Songwriter Royalties""",Life of Rights,70
2023,3,1530,2023,10,11000,4560,2.53,1.56,5788,2617,"Petty Too"" by Lil Durk - Songwriter Royalties""",Life of Rights,70
2022,2,8844,2024,5,16000,3300,4.85,2.06,5788,3605,"Petty Too"" by Lil Durk - Songwriter Royalties""",Life of Rights,70
2022,3,3622,2024,5,16000,3300,4.85,2.06,5788,3605,"Petty Too"" by Lil Durk - Songwriter Royalties""",Life of Rights,70
2022,4,2062,2024,5,16000,3300,4.85,2.06,5788,3605,"Petty Too"" by Lil Durk - Songwriter Royalties""",Life of Rights,70
2023,1,1582,2024,5,16000,3300,4.85,2.06,5788,3605,"Petty Too"" by Lil Durk - Songwriter Royalties""",Life of Rights,70
2023,2,1426,2024,5,16000,3300,4.85,2.06,5788,3605,"Petty Too"" by Lil Durk - Songwriter Royalties""",Life of Rights,70
2023,3,1530,2024,5,16000,3300,4.85,2.06,5788,3605,"Petty Too"" by Lil Durk - Songwriter Royalties""",Life of Rights,70
